Внешний код;Название;Артикул;Доступное количество;Цена;Производитель;;;
330561;Бокал Millefiori для красного вина;53841;0;1864;Leonardo;;;
330558;Бокал Millefiori для белого вина;53842;0;1844;Leonardo;;;
330597;Подсвечники стелянный Millefiori;53845;0;1900;Leonardo;;;
330557;Бокал Millefiori для шампанского;53846;0;1840;Leonardo;;;
330565;Чаша Millefiori 12.5 см;53923;0;1812;Leonardo;;;
330575;Чаша Millefiori 24 см;53924;0;5228;Leonardo;;;
3363;Очиститель унитаза Kraft Zwerg Супер формула, 600 гр;54100;0;490;Kraft Zwerg;;;
3358;Очиститель для ванн Kraft Zwerg, 500 мл;54113;0;530;Kraft Zwerg;;;
3362;Очиститель стоков Kraft Zwerg Экспресс, 500 г;54217;0;520;Kraft Zwerg;;;
3351;Обезжириватель кухонный Kraft Zwerg, 500 мл;54242;291;535;Kraft Zwerg;;;
3361;Очиститель паркета Kraft Zwerg, 1000 мл;54262;162;720;Kraft Zwerg;;;
3360;Очиститель ламината Kraft Zwerg, 1000 мл;54265;0;720;Kraft Zwerg;;;
3359;Очиститель кафеля Kraft Zwerg, 1000 мл;54268;0;720;Kraft Zwerg;;;
3413;Стиральный порошок универсальный Kraft Zwerg концентрат, 1000 г;54319;516;795;Kraft Zwerg;;;
3412;Стиральный порошок для цветного белья Kraft Zwerg концентрат, 1000 г;54322;154;795;Kraft Zwerg;;;
3411;Стиральный порошок для белого белья Kraft Zwerg концентрат, 1000 г;54331;0;885;Kraft Zwerg;;;
3440;Удалитель известкового налета Kraft Zwerg, 500 мл;54476;0;540;Kraft Zwerg;;;
1216;Швабра Profi Cotton Plus, алюминиевая ручка;55020;27;3650;Leifheit;;;
1217;Швабра Profi Cotton Plus, телескопическая;55023;0;3150;Leifheit;;;
1218;Швабра Profi Collect Micro Duo;55025;1448;3650;Leifheit;;;
683;Швабра для пола Profi XL с 2 насадками;55028;1122;4050;Leifheit;;;
1219;Швабра Profi Cotton Plus, стальная ручка;55037;3340;3200;Leifheit;;;
1220;Швабра Profi MicroDuo;55045;40;3650;Leifheit;;;
3526;Швабра для пола Profi MicroDuo, стальная ручка;55048;0;3420;Leifheit;;;
3486;Швабра для пола Profi MicroDuo, телескопическая;55049;31;4050;Leifheit;;;
1221;Ведро с прессом для отжима Profi XL;55076;54;6500;Leifheit;;;
1222;Ведро с прессом для отжима Profi Compact;55080;29;4300;Leifheit;;;
1224;Сменная насадка Profi Static Plus;55111;0;1650;Leifheit;;;
1229;Сменная насадка Profi Extra Soft;55116;5;1300;Leifheit;;;
848;Сменная насадка Profi Static Plus для сухой уборки;55118;0;1200;Leifheit;;;
1225;Сменная насадка Profi MicroDuo;55120;0;1150;Leifheit;;;
1226;Сменная насадка Profi Cotton Plus;55124;1176;1150;Leifheit;;;
1227;Сменная насадка Profi MicroDuo;55126;574;1080;Leifheit;;;
1228;Сменная насадка Profi Collect Micro Duo;55128;449;1080;Leifheit;;;
1230;Сменная насадка Profi Outdoor;55142;0;1400;Leifheit;;;
854;Сменная насадка для сильных загрязнений Profi Outdoor;55146;0;1200;Leifheit;;;
142;Швабра для пола Classic с телескопической ручкой;55210;2427;2154;Leifheit;;;
143;Запасная насадка для швабры для влажной уборки микроволокно Classic;55211;4411;690;Leifheit;;;
144;Швабра для пола Classic Limited Editon с телескопической ручкой;55219;6;1811;Leifheit;;;
1231;Швабра хозяйственная Wet&Dry;55230;0;2235;Leifheit;;;
1232;Сменная насадка Wet&Dry;55231;0;500;Leifheit;;;
1234;Швабра-моп Wet&Dry;55233;0;565;Leifheit;;;
1235;Сменная насадка-моп Wet&Dry;55234;0;640;Leifheit;;;
1236;Сменная насадка-моп Wet&Dry;55235;0;775;Leifheit;;;
1237;Ведро универсальное Wet&Dry;55236;0;1444;Leifheit;;;
1238;Насадка для ведра Wet&Dry;55237;0;458;Leifheit;;;
1239;Стеклоочиститель с губкой Wet&Dry телескопический;55238;1123;2269;Leifheit;;;
1240;Швабра для пола Wet&Dry;55245;0;1440;Leifheit;;;
1243;Швабра EcoPerfect, 42 см;55271;336;2500;Leifheit;;;
1244;Сменная насадка EcoPerfect;55272;992;1065;Leifheit;;;
1245;Ведро EcoPerfect 20л;55273;0;1745;Leifheit;;;
1246;Швабра Combi M Micro Duo;55310;1;1950;Leifheit;;;
1247;Швабра Combi M, телескопическая;55311;7;1750;Leifheit;;;
1248;Сменная насадка Clean Twist Combi M Micro Duo;55320;156;870;Leifheit;;;
1249;Сменная насадка Clean Twist Combi M Extra Soft;55321;1;870;Leifheit;;;
1250;Сменная насадка Clean Twist Combi M Static Plus;55330;2;810;Leifheit;;;
1251;Комплект Combi Clean;55356;508;4425;Leifheit;;;
330601;Подсвечник Tampere оранжевый;55356;508;1200;Leonardo;;;
1255;Сменная насадка Classic Mop Viscose;55401;1;600;Leifheit;;;
1256;Швабра универсальная Supra;56415;39;2850;Leifheit;;;
1257;Водосгон Hausrein;56420;0;1480;Leifheit;;;
1258;Швабра универсальная Dry Rubber Broom;56450;0;2520;Leifheit;;;
1259;Водосгон Hausrein Wet&Dry;56451;0;1395;Leifheit;;;
849;Средство для очистки плитки и кафеля EasySpray XL, 0.6 л;56497;0;1100;Leifheit;;;
108;Швабра с распылителем Care&Protect;56500;0;3492;Leifheit;;;
109;Средство для ухода за паркетом/ламинатом Care, 0.6 л;56501;0;1390;Leifheit;;;
110;Средство для ухода за паркетом/ламинатом Protect, 0.6 л;56503;0;1390;Leifheit;;;
111;Сменная насадка Care для нанесения средства, 42 cм;56505;0;1090;Leifheit;;;
1260;Швабра Picobello Micro Duo;56553;11;2990;Leifheit;;;
1261;Швабра с распылителем Picospray;56590;10;4060;Leifheit;;;
1262;Сменная насадка Picobello Extra Soft;56608;380;935;Leifheit;;;
1263;Сменная насадка Piccolo Extra Soft;56609;604;600;Leifheit;;;
1264;Сменная насадка Piccolo MicroDuo;56610;7225;484;Leifheit;;;
1265;Сменная насадка Piccolo Cotton Plus;56611;224;630;Leifheit;;;
1266;Сменная насадка Picobello Micro Duo;56613;5644;790;Leifheit;;;
1267;Сменная насадка Picobello MicroDuo;56623;0;1008;Leifheit;;;
1268;Швабра Clean&Away;56640;0;1680;Leifheit;;;
1269;Салфетка Magneto Static;56642;0;385;Leifheit;;;
853;Швабра для мытья пола Mop Easy Spray XL с распылителем;56690;0;4795;Leifheit;;;
851;Средство для очистки ламината и линолеума EasySpray XL, 0.6 л;56691;0;1100;Leifheit;;;
850;Средство для очистки паркета и паркетной доски EasySpray XL, 0.6 л;56692;0;1100;Leifheit;;;
1270;Швабра Mop Classic;56705;0;1000;Leifheit;;;
1271;Швабра Mop Wet;56710;0;1550;Leifheit;;;
1272;Комплект Classic Mop;56791;0;4240;Leifheit;;;
684;Комплект для уборки Twist Disc Mop Active: швабра и ведро с отжимом;56793;0;5000;Leifheit;;;
685;Комплект для уборки Mop Classic: швабра-моп и ведро с отжимом;56796;0;3500;Leifheit;;;
1273;Сменная насадка Wet Mop;56810;429;350;Leifheit;;;
330602;Искуственная Гербера жёлтый;56961;0;396;Leonardo;;;
330603;Искуственная Гербера оранжевый;56962;0;332;Leonardo;;;
330591;Искусственная Гербера кремовый;56963;0;332;Leonardo;;;
330592;Искусственная Гербера красный;56966;0;332;Leonardo;;;
1274;Швабра Piccolo с щеткой;57000;0;3000;Leifheit;;;
1275;Швабра Piccolo с щеткой, телескопическая;57001;0;2740;Leifheit;;;
1276;Швабра Piccolo;57020;0;2193;Leifheit;;;
1277;Швабра Piccolo Dutch;57023;8481;1750;Leifheit;;;
1278;Швабра Picobello Micro Duo, телескопическая;57029;4513;2750;Leifheit;;;
1279;Швабра Picobello Cotton Plus;57030;61;3800;Leifheit;;;
1280;Швабра Claro;57500;0;1875;Leifheit;;;
1281;Сменная насадка Claro;57501;70;1290;Leifheit;;;
1282;Швабра Claro, телескопическая;57503;0;2500;Leifheit;;;
1283;Швабра Multimop 3 в 1, телескопическая;57700;0;2370;Leifheit;;;
1284;Сменная насадка Multimop;57701;5;360;Leifheit;;;
32005;Стакан низкий Dots;58595;0;1680;Leonardo;;;
3208;Ваза Beauty 39, зеленый;58712;0;3405;Leonardo;;;
3654;Подсвечник Swirl 6.5х9х9 см;58765;17;1240;Leonardo;;;
32007;Кувшин Millefiori;58838;0;4228;Leonardo;;;
145;Комплект для уборки подставка на колесах и 2 ведра с отжимом;59101;7;20970;Leifheit;;;
146;Комплект для уборки подставка на колесах и ведро с отжимом Professional;59102;1;23512;Leifheit;;;
147;Швабра хозяйственная для пола Professional;59103;0;4010;Leifheit;;;
148;Насадка Professional для мытья с фиксирующей лентой для сильных загрязнений Tuft;59104;0;1510;Leifheit;;;
149;Запасная насадка к швабре micro Professional;59105;0;2560;Leifheit;;;
150;Насадка Professional для мытья с фиксирующей лентой для сухой уборки Dry;59106;1;2410;Leifheit;;;
151;Телескопическая ручкаProfessional , 120 см;59108;0;3800;Leifheit;;;
152;Телескопическая ручкаProfessional , 250 см;59109;0;4653;Leifheit;;;
153;Очиститель стекол Professional , 35 см;59110;0;3000;Leifheit;;;
154;Очиститель стекол Professional , 40 см;59111;0;3300;Leifheit;;;
155;Насадка для очистителя стекол, 35 см;59112;0;1550;Leifheit;;;
156;Насадка для очистителя стекол, 40 см;59113;0;1803;Leifheit;;;
157;Приспособление для мытья окон Professional, 35 см;59114;0;3470;Leifheit;;;
158;Приспособление для мытья окон Professional , 40 см;59115;0;3820;Leifheit;;;
160;Швабра хозяйственная для пола Professional Mop;59120;5;4139;Leifheit;;;
161;Запасная насадка к швабре Professional Mop;59121;0;1330;Leifheit;;;
32008;Рюмка Cheers;60369;102;540;Leonardo;;;
330578;Стакан Cheers;60413;49;756;Leonardo;;;
330579;Стакан Cheers для виски;60414;3;752;Leonardo;;;
3717;Весы электронные кухонные Page Compact 300, 5кг/1гр;61501;2;2210;Soehnle;;;
389;Весы кухонные электронные Page Comfort 300 Slim, 10 кг/1 гр;61504;5;3180;Soehnle;;;
3718;Весы электронные кухонные Page Comfort 400, 10кг/1гр;61505;2;2805;Soehnle;;;
3719;Весы электронные кухонные Page Profi 100, 15кг/1гр;61506;0;3935;Soehnle;;;
3720;Весы электронные кухонные Page Profi 300, 20кг/1гр;61507;2;3490;Soehnle;;;
330562;Бокал Chateau для белого вина;61591;19;1348;Leonardo;;;
330581;Бокал Chateau для красного вина;61592;14;1524;Leonardo;;;
330563;Стакан Chateau для холодных напитков;61593;13;1308;Leonardo;;;
330587;Бокал Chateau для ликёра;61594;2;1316;Leonardo;;;
330582;Бокал Chateau для виски 0.4 л;61595;32;1320;Leonardo;;;
3198;Бокал Chateau для красного вина;61617;18;1400;Leonardo;;;
